12880;Certificação;12879;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Ensino à Distância (12879) | Certificação (12880)
12876;Espécies de Vínculo de Trabalho;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Espécies de Vínculo de Trabalho (12876)
12877;Contrato Temporário;12876;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Espécies de Vínculo de Trabalho (12876) | Contrato Temporário (12877)
12878;Estatutário;12876;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Espécies de Vínculo de Trabalho (12876) | Estatutário (12878)
12891;Formação;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Formação (12891)
12892;Continuada;12891;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Formação (12891) | Continuada (12892)
12888;Greve;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Greve (12888)
12889;Contrato Temporário;12888;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Greve (12888) | Contrato Temporário (12889)
12890;Outros;12888;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Greve (12888) | Outros (12890)
12866;Jornada de Trabalho;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Jornada de Trabalho (12866)
12867;Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes;12866;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Jornada de Trabalho (12866) | Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes (12867)
12881;Plano de Carreira;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881)
12883;Certificação;12881;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881) | Certificação (12883)
12884;Concurso de Ingresso;12881;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881) | Concurso de Ingresso (12884)
12882;Progressão;12881;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881) | Progressão (12882)
12885;Remuneração;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Remuneração (12885)
12887;Piso Salarial;12885;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Remuneração (12885) | Piso Salarial (12887)
13254;Permuta ;10187;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Agentes Políticos (10186) | Magistratura (10187) | Permuta  (13254)
13323;Vitaliciamento ;10187;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Agentes Políticos (10186) | Magistratura (10187) | Vitaliciamento  (13323)
14954;Inspeção em Estabelecimento Penal;10015;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Atos Administrativos (9997) | Fiscalização (10015) | Inspeção em Estabelecimento Penal (14954)
14955;Inspeção na Área de Execução Penal e Corregedoria dos Presídios;10015;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Atos Administrativos (9997) | Fiscalização (10015) | Inspeção na Área de Execução Penal e Corregedoria dos Presídios (14955)
14956;Interdição de Estabelecimento Penal;10015;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Atos Administrativos (9997) | Fiscalização (10015) | Interdição de Estabelecimento Penal (14956)
